,virtual,presencial
recibe mail,1,0
mail certificado,1,0
recibo certificado,1,0
envia mail,1,0
recibo mail,1,0
acude ml,0,1
mail sector,1,0
acude consultorio,0,1
envia certificado,1,0
mail certif,1,0
mail cert,1,0
mail coordinacion,1,0
aviso ausencia,1,0
informando ausentismo,1,0
consultorio entrega,0,1
coordinacion informando,1,0
aviso sector,1,0
hs acude,0,1
envia constancia,1,0
ml certificado,0,1
recibo aviso,1,0
sector informa,1,0
mail informando,1,0
sector ausencia,1,0
concurre ml,0,1
entrega certificados,0,1
acude control,0,1
aporta constancia,0,1
sector informando,1,0
recibe certificado,1,0
cita control,1,0
envia cert,1,0
recibe aviso,1,0
envía mail,1,0
recibe constancia,1,0
concurre certificado,0,1
